timestamp,service_tag,model,cpu,cores,ram_gb,ram_type,storage_type,storage_gb,smart_status,battery_health_pct,battery_charge_pct,battery_cycles,gpu,resolution,resolution_class,screen_size_in,touchscreen,fingerprint_reader,backlit_keyboard,wifi_standard,bluetooth,webcam,screen_grade,chassis_grade,color,charger,recommendation,status,sale_price,sale_date,notes,audit_version,express_service_code,sku,bios_version,cpu_cores_physical,ram_config,ssd_model,ssd_wear_pct,ssd_power_on_hours,ssd_data_written_tb,battery_design_wh,battery_full_wh,display_aspect,wifi_card,oem_key_present,test_display,test_keyboard,test_speaker,erase_method,erase_verified,condition_notes,warnings,list_price,photo_notes
2026-09-07 12:53:05,2XR9LS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,89,5,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828434 listed 2026-09-07 at $469.00 free shipping,3.1,6394746243,0B3F,1.18.0,14,8GB + 8GB,KBG50ZNS512G NVMe KIOXIA 512GB,1,2842,7.18,54.9,49.0,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal wear,,469.00,"Photos show wear on the lid: a small white nick on one lid corner, two short light scratches near the lid's right edge and a light rubbed patch along the lid's top edge (all shown close-up). Keyboard, palm rest, touchpad, ports and underside clean; screen clean. 130 W Dell charger pictured."
2026-09-07 12:53:16,4ZJ6JS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,95,83,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828425 listed 2026-09-07 at $479.00 free shipping,3.1,10855663779,0B3F,1.32.0,14,8GB + 8GB,BC901 NVMe SK hynix 512GB,22,19502,94.4,54.9,52.0,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,479.00,"Photos show a clean keyboard, palm rest, touchpad and screen; the lid is clean apart from a few faint light specks and fingerprint smudges. Ports and underside clean apart from a small white sticker. 130 W Dell charger pictured."
2026-09-07 13:36:48,3Y3GCS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,89,24,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828424 listed 2026-09-07 at $469.00 free shipping,3.1,8591998899,0B3F,1.23.0,14,8GB + 8GB,PM991a NVMe Samsung 512GB,3,3437,13.56,54.9,49.0,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,469.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys; ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
2026-09-07 13:46:06,2YR9LS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,84,92,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828427 listed 2026-09-07 at $459.00 free shipping,3.1,6455212419,0B3F,1.21.0,14,8GB + 8GB,KBG50ZNS512G NVMe KIOXIA 512GB,3,6193,14.02,54.9,45.9,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,459.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys, only light fingerprint smudges on the lid; ports and underside clean apart from a small white sticker. 130 W Dell charger pictured."
2026-09-07 14:06:34,22R9LS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,97,97,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828433 listed 2026-09-07 at $479.00 free shipping,3.1,4520294787,0B3F,1.31.0,14,8GB + 8GB,KBG50ZNS512G NVMe KIOXIA 512GB,12,16355,54.96,N/A,N/A,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal wear,,479.00,"Photos show a clean lid, palm rest, touchpad and keyboard with no scratches, dents or shiny keys; ports and underside clean apart from one small white label on the underside. Blue keyboard backlight working. 130 W Dell charger pictured."
2026-09-07 15:01:33,6Q3X9S3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,100,0,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828430 listed 2026-09-07 at $479.00 free shipping,3.1,14639405763,0B3F,1.32.0,14,8GB + 8GB,OM3PGP4-AD NVMe KDI 512GB,10,10513,49.49,54.9,54.9,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal wear,,479.00,"Photos show a clean lid, keyboard, palm rest, touchpad and ports with no scratches, dents or shiny keys; screen clean. 130 W Dell charger pictured."
2026-09-07 15:08:58,2R3X9S3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,69,100,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828436 listed 2026-09-07 at $449.00 free shipping,3.1,5992742595,0B3F,1.26.0,14,8GB + 8GB,OM3PGP4-AD NVMe KDI 512GB,7,3922,33.92,54.9,37.7,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal wear,,449.00,"Photos show a clean lid, palm rest, touchpad and screen; one small light scuff on the right Alt key; small white sticker on the underside. 130 W Dell charger pictured."
2026-09-07 15:17:43,727MYZ2,Vostro 7500,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,12,16,DDR4,NVMe,1024,PASSED,80,98,N/A,NVIDIA Corporation TU117M [GeForce GTX 1650 Ti Mobile] [10de:1f95] (rev a1),1920x1080,Standard,15.6,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557593786 listed 2026-09-07 at $349.00 free shipping; revised 2026-09-07 with photo-based condition text and gallery fix,3.1,15371237774,09F0,1.24.0,6,8GB + 8GB,Micron 2200S NVMe 1024GB,7,934,2.56,N/A,N/A,16:9,Intel Corporation 400 Series Chipset Family CNVi Wi-Fi [8086:06f0],Yes,pass,pass_operator_override,not_tested,nvme_format_ses1,Yes,normal,,349.00,"Photos show light wear: a few faint light scratches on the lid near the Dell logo, a small white scuff on the front edge of the base (shown close-up), and scuff patches on the underside from desk use. Keyboard, palm rest, touchpad, ports and screen clean. 130 W Dell charger pictured."
2026-09-07 15:23:29,78ZSFS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,80,99,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828428 listed 2026-09-07 at $459.00 free shipping,3.1,15781319139,0B3F,1.29.0,14,8GB + 8GB,PM9B1 NVMe Samsung 512GB,22,6098,56.73,54.9,44.2,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,459.00,"Photos show one small light scratch on the lid left of the Dell logo (shown close-up) and a faint scuff line near the lid's left edge; faint light scuffs on the underside near the regulatory label. Keyboard, palm rest, touchpad and screen clean with no shiny keys. 130 W Dell charger pictured."
2026-09-07 16:03:31,HWR9LS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,85,30,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),audited,,,,3.1,38986015107,0B3F,1.26.0,14,8GB + 8GB,KBG50ZNS512G NVMe KIOXIA 512GB,5,7179,25.49,54.9,46.8,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,,
2026-09-07 16:17:25,JWJ6JS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,84,49,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828438 listed 2026-09-07 at $459.00 free shipping,3.1,43326000291,0B3F,1.28.0,14,8GB + 8GB,BC901 NVMe SK hynix 512GB,6,12975,69.05,54.9,46.1,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,459.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys; ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
2026-09-07 16:54:46,7Q25GS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,84,19,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828423 listed 2026-09-07 at $459.00 free shipping,3.1,16813211187,0B3F,1.26.0,14,8GB + 8GB,BC901 NVMe SK hynix 512GB,5,9754,47.19,54.9,46.1,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,459.00,"Photos show wear on the lid: a light scratch line down the left side, a short scratch and a small paint chip on one lid corner (shown close-up), and fingerprint smudges. Keyboard, palm rest, touchpad, screen and ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
2026-09-07 16:58:10,DXJ6JS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,83,80,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828437 listed 2026-09-07 at $459.00 free shipping,3.1,30325772451,0B3F,1.32.0,14,8GB + 8GB,BC901 NVMe SK hynix 512GB,4,11407,38.65,54.9,45.4,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,459.00,"Photos show a clean lid, keyboard and palm rest with no scratches or dents; the touchpad has a visible smooth, slightly shiny patch from use (shown close-up). Ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
2026-09-07 17:10:36,F8ZSFS3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,93,17,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Ti Mobile] [10de:25a0] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,N,HIGH VALUE (Gaming/Creator),listed,,,eBay 147557828429 listed 2026-09-07 at $445.00 free shipping,3.1,33195577827,0B3F,1.23.0,14,8GB + 8GB,PM9B1 NVMe Samsung 512GB,4,2009,9.9,54.9,50.9,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,445.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys; ports clean; underside clean apart from a small white sticker. No charger is pictured and none is included."
2026-09-07 17:10:37,51WBXL3,Vostro 7620,12th Gen Intel(R) Core(TM) i7-12700H,20,16,DDR5,NVMe,512,PASSED,95,22,N/A,NVIDIA Corporation GA107M [GeForce RTX 3050 Mobile] [10de:25a2] (rev a1),1920x1200,Standard,16.0,No,Yes,Yes,Wi-Fi 6 (802.11ax),Yes,Yes,A,B,Gray,Y,HIGH VALUE (Gaming/Creator),audited,,,,3.1,10998682311,0B3F,1.29.0,14,8GB + 8GB,PM991a NVMe Samsung 512GB,11,12394,75.43,54.9,52.2,16:10,Intel Corporation Alder Lake-P PCH CNVi WiFi [8086:51f0] (rev 01),Yes,pass,pass,not_tested,nvme_format_ses1,Yes,normal,,,
